award_id,request_id,award_date,category_l1,category_l2,country,business_unit,supplier_id,supplier_name,total_value,currency,quantity,required_by_date,awarded,award_rank,decision_rationale,policy_compliant,preferred_supplier_used,escalation_required,escalated_to,savings_pct,lead_time_days,risk_score_at_award,notes
AWD-000036,REQ-000013,2026-03-06,IT,Laptops,FR,Digital Workplace,SUP-0002,HP Enterprise Devices,5108400.0,EUR,6000.0,2026-04-25,False,3,Best compliant combination of price and lead time,True,True,False,Procurement Manager,0.0,14,18,
AWD-000037,REQ-000014,2026-04-08,Facilities,Office Chairs,AT,Cybersecurity,SUP-0022,Herman Miller Contract,67032.0,EUR,120.0,2026-06-09,True,1,Selected due to policy compliance and supplier capability,True,False,False,Head of Category,0.0,25,22,
AWD-000038,REQ-000014,2026-04-11,Facilities,Office Chairs,AT,Cybersecurity,SUP-0021,Steelcase Europe,62916.0,EUR,120.0,2026-06-09,False,2,Selected due to policy compliance and supplier capability,True,True,False,Head of Category,0.0,23,23,
AWD-000039,REQ-000014,2026-04-10,Facilities,Office Chairs,AT,Cybersecurity,SUP-0020,Kinnarps Workplace,58800.0,EUR,120.0,2026-06-09,False,3,Strong incumbent performance and acceptable commercial terms,True,True,False,Head of Strategic Sourcing,0.0,23,19,
AWD-000040,REQ-000015,2026-03-05,IT,Managed Cloud Platform Services,ES,Regional IT EU,SUP-0010,Azure Enterprise,528000.0,EUR,24.0,2026-03-01,False,1,Selected due to policy compliance and supplier capability,True,True,True,Head of Strategic Sourcing,0.0,27,12,
AWD-000041,REQ-000015,2026-03-05,IT,Managed Cloud Platform Services,ES,Regional IT EU,SUP-0011,AWS Enterprise EMEA,512160.0,EUR,24.0,2026-03-01,False,2,Selected due to policy compliance and supplier capability,True,False,True,,0.0,29,21,
AWD-000042,REQ-000015,2026-03-07,IT,Managed Cloud Platform Services,ES,Regional IT EU,SUP-0012,Google Cloud Europe,506880.0,EUR,24.0,2026-03-01,False,3,Rejected because lead time or policy fit was weaker than alternatives,True,False,True,Head of Category,0.0,29,21,
AWD-000043,REQ-000016,2026-02-09,Facilities,Storage Cabinets,NL,Regional IT EU,SUP-0020,Kinnarps Workplace,34800.0,EUR,120.0,2026-03-03,True,1,Best compliant combination of price and lead time,True,True,False,,5.8,26,17,
AWD-000044,REQ-000016,2026-02-15,Facilities,Storage Cabinets,NL,Regional IT EU,SUP-0023,IKEA Business,29928.0,EUR,120.0,2026-03-03,False,2,Best compliant combination of price and lead time,True,False,False,Head of Category,0.0,22,23,
AWD-000045,REQ-000017,2026-02-18,Facilities,Storage Cabinets,DE,Corporate Services,SUP-0020,Kinnarps Workplace,87000.0,EUR,300.0,2026-03-07,True,1,Not selected due to higher risk or weaker commercial position,True,True,False,Procurement Manager,2.3,26,17,
AWD-000046,REQ-000017,2026-02-18,Facilities,Storage Cabinets,DE,Corporate Services,SUP-0024,Bene Office Solutions,82650.0,EUR,300.0,2026-03-07,False,2,Strong incumbent performance and acceptable commercial terms,True,False,False,Head of Category,0.0,24,17,
AWD-000047,REQ-000017,2026-02-12,Facilities,Storage Cabinets,DE,Corporate Services,SUP-0023,IKEA Business,74820.0,EUR,300.0,2026-03-07,False,3,Best compliant combination of price and lead time,True,False,False,Head of Category,0.0,22,23,
AWD-000048,REQ-000018,2026-04-15,Marketing,Marketing Analytics Services,CH,Marketing,SUP-0044,Artefact Analytics,672000.0,CHF,24.0,2026-05-14,True,1,Rejected because lead time or policy fit was weaker than alternatives,True,False,True,Head of Category,2.5,26,16,
AWD-000049,REQ-000018,2026-04-13,Marketing,Marketing Analytics Services,CH,Marketing,SUP-0042,DEPT Agency,645120.0,CHF,24.0,2026-05-14,False,2,Selected due to policy compliance and supplier capability,True,False,True,,0.0,28,21,
AWD-000050,REQ-000018,2026-04-15,Marketing,Marketing Analytics Services,CH,Marketing,SUP-0041,Publicis Digital Europe,692160.0,CHF,24.0,2026-05-14,False,3,Best compliant combination of price and lead time,True,True,True,Head of Strategic Sourcing,0.0,30,24,
AWD-000051,REQ-000019,2026-04-21,Facilities,Workstations and Desks,NL,Cybersecurity,SUP-0022,Herman Miller Contract,15732.0,EUR,20.0,2026-04-19,True,1,Strong incumbent performance and acceptable commercial terms,True,False,False,Head of Strategic Sourcing,4.3,29,17,
AWD-000052,REQ-000019,2026-04-25,Facilities,Workstations and Desks,NL,Cybersecurity,SUP-0020,Kinnarps Workplace,13800.0,EUR,20.0,2026-04-19,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,True,False,Head of Strategic Sourcing,0.0,27,17,
AWD-000053,REQ-000019,2026-04-19,Facilities,Workstations and Desks,NL,Cybersecurity,SUP-0021,Steelcase Europe,14766.0,EUR,20.0,2026-04-19,False,3,Rejected because lead time or policy fit was weaker than alternatives,True,True,False,Head of Category,0.0,28,23,
AWD-000054,REQ-000020,2026-03-16,Professional Services,Software Development Services,FR,Infrastructure,SUP-0032,Thoughtworks Europe,45360.0,EUR,40.0,2026-05-19,True,1,Best compliant combination of price and lead time,True,False,False,Head of Category,8.4,23,18,
AWD-000055,REQ-000020,2026-03-16,Professional Services,Software Development Services,FR,Infrastructure,SUP-0031,Capgemini Consulting,44496.0,EUR,40.0,2026-05-19,False,2,Not selected due to higher risk or weaker commercial position,True,True,False,,0.0,23,19,
AWD-000056,REQ-000020,2026-03-15,Professional Services,Software Development Services,FR,Infrastructure,SUP-0034,EPAM Delivery Services,39744.0,EUR,40.0,2026-05-19,False,3,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,,0.0,23,20,
AWD-000057,REQ-000021,2026-01-30,IT,Accessories Bundles,FR,Data & Analytics,SUP-0004,Apple Business Channel,7150.0,EUR,50.0,2026-03-24,True,1,Selected due to policy compliance and supplier capability,True,False,True,,8.5,28,20,
AWD-000058,REQ-000021,2026-02-01,IT,Accessories Bundles,FR,Data & Analytics,SUP-0007,Bechtle Workplace Solutions,6240.0,EUR,50.0,2026-03-24,False,2,Not selected due to higher risk or weaker commercial position,True,True,True,Head of Strategic Sourcing,0.0,27,16,
AWD-000059,REQ-000021,2026-02-16,IT,Accessories Bundles,FR,Data & Analytics,SUP-0003,Lenovo Commercial EU,6370.0,EUR,50.0,2026-03-24,False,3,Strong incumbent performance and acceptable commercial terms,True,True,True,Head of Category,0.0,29,23,
AWD-000060,REQ-000022,2026-03-04,IT,Monitors,FR,Global IT,SUP-0001,Dell Enterprise Europe,27000.0,EUR,120.0,2026-03-12,True,1,Strong incumbent performance and acceptable commercial terms,True,True,False,Procurement Manager,0.0,22,14,
AWD-000061,REQ-000022,2026-02-23,IT,Monitors,FR,Global IT,SUP-0002,HP Enterprise Devices,26730.0,EUR,120.0,2026-03-12,False,2,Strong incumbent performance and acceptable commercial terms,True,True,False,Procurement Manager,0.0,24,20,
AWD-000062,REQ-000022,2026-03-01,IT,Monitors,FR,Global IT,SUP-0007,Bechtle Workplace Solutions,25920.0,EUR,120.0,2026-03-12,False,3,Not selected due to higher risk or weaker commercial position,True,True,False,Procurement Manager,0.0,23,19,
AWD-000063,REQ-000023,2026-04-21,IT,Cloud Security Services,AT,Cybersecurity,SUP-0010,Azure Enterprise,2250.0,EUR,150.0,2026-04-15,True,1,Strong incumbent performance and acceptable commercial terms,True,True,False,Procurement Manager,6.5,28,14,
AWD-000064,REQ-000023,2026-04-21,IT,Cloud Security Services,AT,Cybersecurity,SUP-0014,Swiss Sovereign Cloud,2430.0,EUR,150.0,2026-04-15,False,2,Selected due to policy compliance and supplier capability,True,False,False,,0.0,29,14,
AWD-000065,REQ-000023,2026-04-18,IT,Cloud Security Services,AT,Cybersecurity,SUP-0011,AWS Enterprise EMEA,2182.5,EUR,150.0,2026-04-15,False,3,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,Procurement Manager,0.0,28,24,
AWD-000066,REQ-000024,2026-03-11,Facilities,Workstations and Desks,NL,Infrastructure,SUP-0022,Herman Miller Contract,222300.0,EUR,300.0,2026-03-04,True,1,Not selected due to higher risk or weaker commercial position,True,False,True,,7.7,23,17,
AWD-000067,REQ-000024,2026-03-16,Facilities,Workstations and Desks,NL,Infrastructure,SUP-0020,Kinnarps Workplace,195000.0,EUR,300.0,2026-03-04,False,2,Not selected due to higher risk or weaker commercial position,True,True,True,Head of Category,0.0,24,17,
AWD-000068,REQ-000024,2026-03-09,Facilities,Workstations and Desks,NL,Infrastructure,SUP-0021,Steelcase Europe,208650.0,EUR,300.0,2026-03-04,False,3,Strong incumbent performance and acceptable commercial terms,True,True,True,Head of Category,0.0,26,23,
AWD-000069,REQ-000025,2026-05-01,IT,Rugged Devices,FR,Global IT,SUP-0006,Panasonic Toughbook Europe,190080.0,EUR,100.0,2026-05-27,True,1,Rejected because lead time or policy fit was weaker than alternatives,True,False,True,,8.0,25,15,
AWD-000070,REQ-000025,2026-05-07,IT,Rugged Devices,FR,Global IT,SUP-0005,Samsung Knox Devices,170720.0,EUR,100.0,2026-05-27,False,2,Not selected due to higher risk or weaker commercial position,True,False,True,Procurement Manager,0.0,23,28,
AWD-000071,REQ-000026,2026-02-03,IT,Cloud Compute,NL,Infrastructure,SUP-0012,Google Cloud Europe,12096.0,EUR,120000.0,2026-03-01,True,1,Not selected due to higher risk or weaker commercial position,True,False,True,Head of Category,4.4,16,15,
AWD-000072,REQ-000026,2026-02-03,IT,Cloud Compute,NL,Infrastructure,SUP-0010,Azure Enterprise,12600.0,EUR,120000.0,2026-03-01,False,2,Selected due to policy compliance and supplier capability,True,True,True,Procurement Manager,0.0,20,17,
AWD-000073,REQ-000026,2026-02-05,IT,Cloud Compute,NL,Infrastructure,SUP-0011,AWS Enterprise EMEA,12216.0,EUR,120000.0,2026-03-01,False,3,Not selected due to higher risk or weaker commercial position,True,False,True,Head of Strategic Sourcing,0.0,19,16,
AWD-000074,REQ-000027,2026-02-22,IT,Monitors,AT,Cybersecurity,SUP-0001,Dell Enterprise Europe,27000.0,EUR,120.0,2026-02-27,True,1,Strong incumbent performance and acceptable commercial terms,True,True,False,,4.2,22,14,
AWD-000075,REQ-000027,2026-02-27,IT,Monitors,AT,Cybersecurity,SUP-0002,HP Enterprise Devices,26730.0,EUR,120.0,2026-02-27,False,2,Best compliant combination of price and lead time,True,True,False,Head of Category,0.0,24,20,
AWD-000076,REQ-000027,2026-03-05,IT,Monitors,AT,Cybersecurity,SUP-0007,Bechtle Workplace Solutions,25920.0,EUR,120.0,2026-02-27,False,3,Strong incumbent performance and acceptable commercial terms,True,True,False,Head of Strategic Sourcing,0.0,23,19,
AWD-000077,REQ-000028,2026-02-11,IT,Replacement / Break-Fix Pool Devices,IT,Regional IT EU,SUP-0001,Dell Enterprise Europe,117600.0,EUR,120.0,2026-03-19,True,1,Not selected due to higher risk or weaker commercial position,True,True,False,Head of Strategic Sourcing,5.3,24,17,
AWD-000078,REQ-000028,2026-02-09,IT,Replacement / Break-Fix Pool Devices,IT,Regional IT EU,SUP-0006,Panasonic Toughbook Europe,127008.0,EUR,120.0,2026-03-19,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,,0.0,23,23,
AWD-000079,REQ-000028,2026-02-15,IT,Replacement / Break-Fix Pool Devices,IT,Regional IT EU,SUP-0007,Bechtle Workplace Solutions,112896.0,EUR,120.0,2026-03-19,False,3,Selected due to policy compliance and supplier capability,True,True,False,Head of Strategic Sourcing,0.0,26,19,
AWD-000080,REQ-000029,2026-01-29,Professional Services,IT Project Management Services,DE,Regional IT EU,SUP-0030,Accenture Advisory Europe,358400.0,EUR,320.0,2026-02-26,True,1,Selected due to policy compliance and supplier capability,True,True,True,Head of Strategic Sourcing,0.0,13,25,
AWD-000081,REQ-000029,2026-02-10,Professional Services,IT Project Management Services,DE,Regional IT EU,SUP-0031,Capgemini Consulting,329600.0,EUR,320.0,2026-02-26,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,True,True,Head of Strategic Sourcing,0.0,14,22,
AWD-000082,REQ-000029,2026-02-10,Professional Services,IT Project Management Services,DE,Regional IT EU,SUP-0033,Deloitte Technology Advisory,345600.0,EUR,320.0,2026-02-26,False,3,Selected due to policy compliance and supplier capability,True,False,True,Head of Strategic Sourcing,0.0,16,27,
AWD-000083,REQ-000030,2026-01-27,Facilities,Workstations and Desks,BE,Corporate Services,SUP-0022,Herman Miller Contract,47196.0,EUR,60.0,2026-02-05,True,1,Selected due to policy compliance and supplier capability,True,False,False,Head of Strategic Sourcing,3.7,29,17,
AWD-000084,REQ-000030,2026-01-29,Facilities,Workstations and Desks,BE,Corporate Services,SUP-0020,Kinnarps Workplace,41400.0,EUR,60.0,2026-02-05,False,2,Not selected due to higher risk or weaker commercial position,True,True,False,,0.0,27,17,
AWD-000085,REQ-000030,2026-01-27,Facilities,Workstations and Desks,BE,Corporate Services,SUP-0021,Steelcase Europe,44298.0,EUR,60.0,2026-02-05,False,3,Best compliant combination of price and lead time,True,True,False,Head of Category,0.0,28,23,
AWD-000086,REQ-000031,2026-04-26,IT,Monitors,AT,Cybersecurity,SUP-0001,Dell Enterprise Europe,12000.0,EUR,50.0,2026-06-28,True,1,Not selected due to higher risk or weaker commercial position,True,True,False,,2.4,29,14,
AWD-000087,REQ-000031,2026-04-30,IT,Monitors,AT,Cybersecurity,SUP-0002,HP Enterprise Devices,11880.0,EUR,50.0,2026-06-28,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,True,False,Head of Category,0.0,29,20,
AWD-000088,REQ-000031,2026-05-11,IT,Monitors,AT,Cybersecurity,SUP-0007,Bechtle Workplace Solutions,11520.0,EUR,50.0,2026-06-28,False,3,Not selected due to higher risk or weaker commercial position,True,True,False,,0.0,30,19,
AWD-000089,REQ-000032,2026-03-08,Facilities,Reception and Lounge Furniture,FR,Regional IT EU,SUP-0022,Herman Miller Contract,38760.0,EUR,2.0,2026-03-08,True,1,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,,7.4,17,17,
AWD-000090,REQ-000032,2026-03-06,Facilities,Reception and Lounge Furniture,FR,Regional IT EU,SUP-0020,Kinnarps Workplace,34000.0,EUR,2.0,2026-03-08,False,2,Not selected due to higher risk or weaker commercial position,True,True,False,Head of Strategic Sourcing,0.0,19,14,
AWD-000091,REQ-000032,2026-03-07,Facilities,Reception and Lounge Furniture,FR,Regional IT EU,SUP-0021,Steelcase Europe,36380.0,EUR,2.0,2026-03-08,False,3,Best compliant combination of price and lead time,True,True,False,Procurement Manager,0.0,19,17,
AWD-000092,REQ-000033,2026-03-31,Facilities,Office Chairs,DE,Digital Workplace,SUP-0022,Herman Miller Contract,29640.0,EUR,50.0,2026-04-11,True,1,Strong incumbent performance and acceptable commercial terms,True,False,True,Procurement Manager,3.9,27,22,
AWD-000093,REQ-000033,2026-03-19,Facilities,Office Chairs,DE,Digital Workplace,SUP-0021,Steelcase Europe,27820.0,EUR,50.0,2026-04-11,False,2,Selected due to policy compliance and supplier capability,True,True,True,Procurement Manager,0.0,28,23,
AWD-000094,REQ-000033,2026-03-28,Facilities,Office Chairs,DE,Digital Workplace,SUP-0020,Kinnarps Workplace,26000.0,EUR,50.0,2026-04-11,False,3,Strong incumbent performance and acceptable commercial terms,True,True,True,Head of Strategic Sourcing,0.0,28,19,
AWD-000095,REQ-000034,2026-05-10,Professional Services,Cloud Architecture Consulting,AT,Marketing,SUP-0035,Visium Data Engineering,432400.0,EUR,400.0,2026-05-11,True,1,Not selected due to higher risk or weaker commercial position,True,False,False,,5.6,16,11,
AWD-000096,REQ-000034,2026-04-25,Professional Services,Cloud Architecture Consulting,AT,Marketing,SUP-0032,Thoughtworks Europe,483000.0,EUR,400.0,2026-05-11,False,2,Selected due to policy compliance and supplier capability,True,False,False,Procurement Manager,0.0,16,17,
AWD-000097,REQ-000034,2026-05-06,Professional Services,Cloud Architecture Consulting,AT,Marketing,SUP-0030,Accenture Advisory Europe,515200.0,EUR,400.0,2026-05-11,False,3,Not selected due to higher risk or weaker commercial position,True,True,False,Head of Category,0.0,15,20,
AWD-000098,REQ-000035,2026-02-25,IT,Smartphones,BE,Corporate Services,SUP-0004,Apple Business Channel,80080.0,EUR,80.0,2026-04-22,False,1,Selected due to policy compliance and supplier capability,True,False,True,,0.0,27,23,
AWD-000099,REQ-000035,2026-03-07,IT,Smartphones,BE,Corporate Services,SUP-0005,Samsung Knox Devices,70616.0,EUR,80.0,2026-04-22,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,False,True,Procurement Manager,0.0,28,30,
AWD-000100,REQ-000036,2026-04-27,Professional Services,IT Project Management Services,CH,Facilities,SUP-0030,Accenture Advisory Europe,716800.0,CHF,640.0,2026-06-14,True,1,Selected due to policy compliance and supplier capability,True,True,True,Head of Strategic Sourcing,6.2,13,25,
AWD-000101,REQ-000036,2026-04-26,Professional Services,IT Project Management Services,CH,Facilities,SUP-0031,Capgemini Consulting,659200.0,CHF,640.0,2026-06-14,False,2,Best compliant combination of price and lead time,True,True,True,Head of Strategic Sourcing,0.0,14,22,
AWD-000102,REQ-000036,2026-04-22,Professional Services,IT Project Management Services,CH,Facilities,SUP-0033,Deloitte Technology Advisory,691200.0,CHF,640.0,2026-06-14,False,3,Rejected because lead time or policy fit was weaker than alternatives,True,False,True,Head of Category,0.0,16,27,
AWD-000103,REQ-000037,2026-01-06,Marketing,Influencer Campaign Management,PL,Infrastructure,SUP-0040,WPP Performance Media,96900.0,EUR,1.0,2026-03-08,True,1,Best compliant combination of price and lead time,True,True,False,Head of Category,5.2,20,19,
AWD-000104,REQ-000037,2026-01-25,Marketing,Influencer Campaign Management,PL,Infrastructure,SUP-0043,Monks Europe,93100.0,EUR,1.0,2026-03-08,False,2,Strong incumbent performance and acceptable commercial terms,True,False,False,Procurement Manager,0.0,19,17,
AWD-000105,REQ-000038,2026-04-11,IT,Laptops,DE,Facilities,SUP-0001,Dell Enterprise Europe,445000.0,EUR,500.0,2026-04-06,True,1,Strong incumbent performance and acceptable commercial terms,True,True,False,Head of Category,2.8,19,16,
AWD-000106,REQ-000038,2026-03-30,IT,Laptops,DE,Facilities,SUP-0004,Apple Business Channel,489500.0,EUR,500.0,2026-04-06,False,2,Not selected due to higher risk or weaker commercial position,True,False,False,Head of Category,0.0,17,22,
AWD-000107,REQ-000038,2026-03-29,IT,Laptops,DE,Facilities,SUP-0002,HP Enterprise Devices,440550.0,EUR,500.0,2026-04-06,False,3,Not selected due to higher risk or weaker commercial position,True,True,False,Head of Category,0.0,19,18,
AWD-000108,REQ-000039,2026-02-13,IT,Smartphones,NL,Infrastructure,SUP-0004,Apple Business Channel,30030.0,EUR,30.0,2026-03-01,True,1,Best compliant combination of price and lead time,True,False,False,,8.7,27,23,
AWD-000109,REQ-000039,2026-02-18,IT,Smartphones,NL,Infrastructure,SUP-0005,Samsung Knox Devices,26481.0,EUR,30.0,2026-03-01,False,2,Not selected due to higher risk or weaker commercial position,True,False,False,,0.0,28,30,
